label/labelVerse,text,textVerse,category,ImageUrl
Flashcard 7,What percentage of morphine is bound to albumin?,About 20%,pharmacology,
Flashcard 8,Does a change in serum albumin significantly alter morphine metabolism?,"No, it does not significantly alter metabolism.",pharmacology,
Flashcard 9,Is erythromycin involved in morphine metabolism through the cytochrome P450 enzymes?,"No, erythromycin inhibits P450 enzymes, but morphine is metabolized via glucuronidation.",pharmacology,
Flashcard 10,"What phase II reaction is involved in the metabolism of morphine, and does it include acetylation?","Morphine is metabolized by glucuronidation, not acetylation.",pharmacology,
Flashcard 11,What symptoms suggest an opioid overdose?,"Miosis, profound sedation, and respiratory depression.",pharmacology,
Flashcard 12,What reverses the symptoms of an opioid overdose rapidly?,"Antidotal therapy, specifically with naloxone.",pharmacology,
Flashcard 13,Name the opioid receptor subtypes.,"Mu, delta, and kappa.",pharmacology,
Flashcard 14,How do opioid medications like morphine produce their effects?,By binding to opioid receptors and modulating pain perception.,pharmacology,
Flashcard 15,What is Naloxone?,A pure opioid receptor antagonist.,pharmacology,
Flashcard 16,Does Naloxone have any agonist properties?,"No, it is devoid of agonist properties.",pharmacology,
Flashcard 17,Which opioid receptor does Naloxone have the greatest affinity for?,Mu receptors.,pharmacology,
Flashcard 18,What are mu receptors responsible for?,Opioid-induced cardiorespiratory depression.,pharmacology,
Flashcard 19,How does Naloxone reverse opioid intoxication?,By displacing opioids from their receptors.,pharmacology,
Flashcard 20,How quickly can Naloxone reverse opioid effects?,Within minutes.,pharmacology,
Flashcard 21,What is the duration of Naloxone's effects?,"Dose-dependent, usually 1-4 hours.",pharmacology,
Flashcard 22,Why must Naloxone be administered parenterally?,It is inactivated by the liver when taken orally.,pharmacology,
Flashcard 23,Which medications are used to treat serotonin syndrome?,"Cyproheptadine, a 5-HT1A and 5-HT2A antagonist.",pharmacology,
Flashcard 24,What type of receptor is targeted by ondansetron?,A 5-HT3 antagonist.,pharmacology,
Flashcard 25,Does Naloxone bind to delta and kappa receptors?,"Yes, but with less affinity than mu receptors.",pharmacology,
Flashcard 26,What neurotransmitter is the primary target of benzodiazepines and barbiturates?,GABA.,pharmacology,
Flashcard 27,What does Flumazenil reverse?,Benzodiazepine intoxication.,pharmacology,
Flashcard 28,What is Baclofen's mechanism of action?,An agonist at the GABA B receptor.,pharmacology,
Flashcard 29,Which neurotransmitter binds to NMDA receptors?,Glutamate.,pharmacology,
Flashcard 30,What makes Naloxone effective in treating opioid intoxication?,"Its high affinity for mu receptors, which mediate bradycardia and respiratory depression.",pharmacology,
Flashcard 1,What is anisocoria?,"Pupillary asymmetry, or difference in pupil size.",ophthalmology,
Flashcard 2,What does anisocoria indicate?,Unilateral deficit in the ocular sympathetic or parasympathetic pathway.,ophthalmology,
Flashcard 3,What happens to the pupils in response to dim light?,The oculosympathetic pathway initiates pupillary dilation.,ophthalmology,
Flashcard 4,What is the role of the parasympathetic pathway in the response to bright light?,"It initiates pupillary constriction, limiting the entry of light.",ophthalmology,
Flashcard 5,What happens when pupillary asymmetry increases in dim light?,The smaller pupil cannot dilate due to loss of sympathetic input.,ophthalmology,
Flashcard 6,What does pupillary asymmetry decrease in bright light mean?,"The parasympathetic pathway is functioning, while the sympathetic pathway is impaired.",ophthalmology,
Flashcard 7,What does an asymmetry that increases in bright light indicate?,The larger pupil fails to constrict due to loss of parasympathetic input.,ophthalmology,
Flashcard 8,What happens to the asymmetry in dark conditions?,"The smaller (e.g., right) pupil fails to dilate due to damage to the sympathetic pathway.",ophthalmology,
Flashcard 9,What happens if there is damage to the oculomotor nerve?,Anisocoria increases in bright light; the ipsilateral pupil fails to constrict.,ophthalmology,
Flashcard 10,What happens if there is damage to the left oculosympathetic pathway?,"Results in a fixed, constricted pupil in the left eye.",ophthalmology,
Flashcard 11,What can cause damage to the optic nerves?,Loss of monocular vision and decreased bilateral pupillary constriction.,ophthalmology,
Flashcard 12,What is a relative afferent pupillary defect (RAPD)?,Occurs when the pupillary response is reduced in one eye due to damage to the optic nerve.,ophthalmology,
Flashcard 13,What does a larger pupil in bright light indicate?,"It may indicate damage to the parasympathetic nerve, which is unable to constrict.",ophthalmology,
Flashcard 14,How do you record the difference in pupil size?,Record the measurement in millimeters and specify which pupil is larger or smaller.,ophthalmology,
Flashcard 15,What is the function of the oculomotor nerve?,It controls the constriction of the pupil and its movement.,ophthalmology,
Flashcard 16,How does pupillary asymmetry behave in response to light testing?,It can help identify which pathway (sympathetic or parasympathetic) is affected.,ophthalmology,
Flashcard 17,What would be the result of damage to the right sympathetic pathway?,The right pupil would be smaller and would not dilate properly in dim light.,ophthalmology,
Flashcard 18,What is the pupillary reflex?,The mechanism that adjusts the size of the pupil in response to light.,ophthalmology,
Flashcard 19,How does damage to the parasympathetic pathway affect the pupil?,It results in a dilated pupil that does not respond adequately to light.,ophthalmology,
Flashcard 20,What conditions can cause anisocoria?,"Horner's syndrome, oculomotor nerve injuries, and others.",ophthalmology,
Flashcard 21,How can high blood pressure affect pupillary function?,It may be associated with vascular conditions that affect the ocular sympathetic pathway.,ophthalmology,
Flashcard 22,What is the consensual response in the pupillary reflex?,"When light is directed at one eye, both eyes should constrict, even if only one eye has direct light.",ophthalmology,
Flashcard 1,What enzyme deficiency causes oculocutaneous albinism (OCA)?,"Tyrosinase deficiency, which impairs the conversion of tyrosine to dopaquinone, a precursor of melanin.",dermatology,
Flashcard 2,What are the primary physical features of OCA?,"Pale skin, white hair, and blue or light-colored irises.",dermatology,
Flashcard 3,What are the visual abnormalities associated with OCA?,"Decreased visual acuity, nystagmus, photophobia, and strabismus.",dermatology,
Flashcard 4,What causes the increased risk of skin cancer in individuals with OCA?,"Reduced melanin production, which normally protects the skin from ultraviolet radiation.",dermatology,
Flashcard 5,What is the inheritance pattern of OCA?,Autosomal recessive.,dermatology,
Flashcard 6,How does melanin deficiency affect the retina in OCA?,"It leads to abnormal foveal development, contributing to decreased visual acuity.",dermatology,
Flashcard 7,What sensory condition is commonly seen in OCA due to reduced melanin?,"Nystagmus, which is involuntary eye movement.",dermatology,
Flashcard 8,What is the role of melanin in the skin and hair?,Melanin provides pigmentation and protects against ultraviolet radiation damage.,dermatology,
Flashcard 9,Why do individuals with OCA experience photophobia?,"Reduced melanin in the iris and retina allows more light to enter, increasing sensitivity.",dermatology,
Flashcard 10,What precautionary measures should individuals with OCA take to prevent complications?,"Use sunscreen, wear protective clothing, and undergo regular dermatological screenings for skin cancer.",dermatology,
Flashcard 11,What is the most common site of squamous cell carcinoma (SCC) on the body?,"Sun-exposed areas such as the face, scalp, neck, ears, and hands.",dermatology,
Flashcard 12,What are the classic histologic features of SCC?,"Atypical keratinocytes, intercellular bridges, and keratin pearl formation.",dermatology,
Flashcard 13,Which precursor lesion is strongly associated with SCC?,"Actinic keratosis, a rough, scaly patch found on sun-damaged skin.",dermatology,
Flashcard 14,Name two major risk factors for developing SCC.,"Chronic sun exposure (UV radiation) and immunosuppression (e.g., transplant patients).",dermatology,
Flashcard 15,How does SCC typically present clinically?,"As a firm, scaly, or ulcerated lesion with surrounding induration, often on sun-exposed areas.",dermatology,
Flashcard 16,What is the treatment of choice for localized SCC?,Surgical excision with clear margins.,dermatology,
Flashcard 17,Which populations are at increased risk of SCC?,"Older adults, fair-skinned individuals, and those with a history of chronic UV exposure.",dermatology,
Flashcard 18,What syndrome is associated with a predisposition to SCC?,"Xeroderma pigmentosum, a genetic condition with defective DNA repair.",dermatology,
Flashcard 19,How can SCC metastasis be assessed?,"By evaluating lymph nodes, as SCC can spread regionally, particularly in high-risk lesions.",dermatology,
Flashcard 20,What is a distinguishing feature of SCC compared to basal cell carcinoma?,"SCC often ulcerates and shows keratin production (keratin pearls), while basal cell carcinoma presents as pearly papules with telangiectasias.",dermatology,
Flashcard 21,What is actinic keratosis (AK)?,"A precancerous skin lesion caused by sun exposure, often leading to squamous cell carcinoma.",dermatology,
Flashcard 22,What is the typical appearance of actinic keratosis?,"Rough, scaly plaques that may be erythematous or have a whitish scale.",dermatology,
Flashcard 23,Which areas of the body are most commonly affected by actinic keratosis?,"Sun-exposed areas such as the face, ears, scalp, neck, hands, and forearms.",dermatology,
Flashcard 24,What age group is most at risk for developing actinic keratosis?,"Individuals over the age of 50, especially those with fair skin.",dermatology,
Flashcard 25,How does actinic keratosis typically feel to the touch?,It feels rough with a sandpaper-like texture.,dermatology,
Flashcard 26,What percentage of actinic keratoses are estimated to progress to invasive squamous cell carcinoma if left untreated?,Approximately 1%.,dermatology,
Flashcard 27,What is the first-line treatment for isolated actinic keratosis lesions?,Cryotherapy (liquid nitrogen).,dermatology,
Flashcard 28,When are topical chemotherapy agents like 5-FU and imiquimod used?,For multiple lesions or widespread actinic keratosis.,dermatology,
Flashcard 29,What is the main histological finding in actinic keratosis?,Dysplastic keratinocytes in the epidermis with keratin layer abnormalities.,dermatology,
Flashcard 30,How can actinic keratosis be differentiated from squamous cell carcinoma?,AK is usually superficial and can be resolved with treatment; SCC can be more invasive and aggressive.,dermatology,
Flashcard 31,What is an important preventative measure for actinic keratosis?,Regular use of broad-spectrum sunscreen and protective clothing.,dermatology,
Flashcard 32,Name a benign condition that can be confused with actinic keratosis.,Seborrheic keratosis.,dermatology,
Flashcard 33,How do seborrheic keratosis and actinic keratosis differ in appearance?,"Seborrheic keratosis appears 'stuck on' and is usually well-defined, while AK is rough and has a scaly texture.",dermatology,
Flashcard 34,What is Bowen's disease?,Squamous cell carcinoma in situ that may resemble actinic keratosis.,dermatology,
Flashcard 35,What are the treatment options for widespread actinic keratosis?,Field-directed therapy using topical chemotherapy or photodynamic therapy.,dermatology,
Flashcard 36,Which histological type of actinic keratosis may develop cutaneous horns?,Hypertrophic actinic keratosis.,dermatology,
Flashcard 37,What other skin condition presents similarly but typically has well-defined lesions with silvery scales?,Psoriasis.,dermatology,
Flashcard 38,What is a common complication of untreated actinic keratosis?,Progression to squamous cell carcinoma.,dermatology,
Flashcard 39,Can actinic keratosis lesions resolve on their own?,"Some lesions may regress spontaneously, but many persist or progress.",dermatology,
Flashcard 40,What role does UV exposure play in actinic keratosis development?,"Chronic UV exposure leads to DNA damage in skin cells, resulting in keratinocyte dysplasia.",dermatology,
Flashcard 41,Which virus is associated with increased risk for actinic keratosis?,Human papillomavirus (HPV) may contribute to skin cancers.,dermatology,
Flashcard 42,What characteristic change might you see in hypertrophic actinic keratosis lesions?,More prominent thickened keratin layers and potential for horn formation.,dermatology,
Flashcard 43,What skin condition often shows a herald patch and is followed by a Christmas tree pattern rash?,"Pityriasis rosea, which is distinct from actinic keratosis.",dermatology,
Flashcard 44,What histological finding is indicative of actinic keratosis?,"Acanthosis, dyskeratosis, and the presence of keratinocytes with atypical nuclei.",dermatology,
Flashcard 45,What factors increase the risk of developing actinic keratosis?,"Fair skin, older age, chronic sun exposure, and a history of sunburn.",dermatology,
Flashcard 46,What is a key characteristic of hyperkeratotic actinic keratosis?,A thickened stratum corneum associated with significant keratinization of the skin.,dermatology,
Flashcard 47,How is actinic keratosis diagnosed clinically?,Primarily by visual examination; biopsy may be performed if there's diagnostic uncertainty.,dermatology,
Flashcard 48,What is the appearance of lesions in actinic keratosis after treatment with cryotherapy?,"They may initially blister, then crust, and eventually heal, usually within 1–2 weeks.",dermatology,
Flashcard 49,What other common condition does actinic keratosis share a risk factor with?,"Nonmelanoma skin cancers, given its precancerous nature.",dermatology,
Flashcard 50,Why are patients with actinic keratosis advised to have regular skin checks?,To monitor for progression to squamous cell carcinoma and to identify any new lesions or changes in existing lesions.,dermatology,
Flashcard 51,What is the primary cause of actinic keratosis?,"Actinic keratosis is primarily caused by chronic sun exposure or ultraviolet (UV) radiation, which leads to DNA damage in skin cells.",dermatology,
Flashcard 52,What type of skin lesions are seen in actinic keratosis?,"Actinic keratosis presents as rough, scaly, red or brown spots on sun-exposed areas of the skin, often with a dry, flaky texture.",dermatology,
Flashcard 53,Which population is most at risk for developing actinic keratosis?,"People with fair skin, blond or red hair, and those who have had frequent sun exposure, particularly individuals over the age of 40, are most at risk.",dermatology,
Flashcard 54,What is the clinical progression of actinic keratosis?,"Actinic keratosis can progress to squamous cell carcinoma if left untreated, though many lesions remain benign.",dermatology,
Flashcard 55,What is the most common site for actinic keratosis lesions?,"The most common sites are areas of the skin that are frequently exposed to the sun, such as the face, ears, scalp, back of the hands, neck, and forearms.",dermatology,
Flashcard 56,What histological feature is characteristic of actinic keratosis?,"Parakeratosis (retention of nuclei in the stratum corneum) is a hallmark histological feature, along with hyperkeratosis and atypical keratinocytes.",dermatology,
Flashcard 57,What is the typical treatment for actinic keratosis?,"Treatment options include cryotherapy, topical chemotherapy agents (such as 5-fluorouracil or imiquimod), laser therapy, and photodynamic therapy.",dermatology,
Flashcard 58,How does actinic keratosis feel when touched?,Actinic keratosis lesions often feel rough or sandpaper-like when touched due to the thickened skin layer.,dermatology,
Flashcard 59,How does actinic keratosis appear on biopsy?,"On biopsy, actinic keratosis shows hyperkeratosis (thickening of the stratum corneum), parakeratosis, and atypical epidermal cells with irregularities in the basal layer.",dermatology,
Flashcard 60,What is the risk of untreated actinic keratosis?,"Untreated actinic keratosis can progress to squamous cell carcinoma, a type of skin cancer, although this happens in only a small percentage of cases.",dermatology,
Flashcard 61,What is melanoma?,"Melanoma is a type of skin cancer that originates in melanocytes, the pigment-producing cells in the skin. It can spread rapidly to other parts of the body.",dermatology,
Flashcard 62,Which gene mutation is commonly associated with melanoma?,"BRAF gene mutations, specifically the V600E mutation, are found in approximately 60% of melanomas. This mutation activates RAS signaling, promoting cell proliferation.",dermatology,
Flashcard 63,What is the most common clinical presentation of melanoma?,"Melanoma often presents as an asymmetrical, irregularly shaped, pigmented lesion greater than 6 mm in diameter, with varying colors and borders.",dermatology,
Flashcard 64,What are the main risk factors for melanoma?,"Major risk factors include intense sun exposure (especially sunburns), fair skin, family history, and the presence of multiple or atypical moles (dysplastic nevi).",dermatology,
Flashcard 65,What is the ABCDE rule used for?,The ABCDE rule helps to assess moles for melanoma,dermatology,
Flashcard 66,How is melanoma diagnosed?,"Melanoma is diagnosed through a skin biopsy, where a sample of the suspicious lesion is examined histologically for abnormal cells and melanocyte proliferation.",dermatology,
Flashcard 67,What are the potential complications of melanoma?,"If not detected early, melanoma can metastasize to distant organs, such as the lungs, liver, brain, and bones, leading to life-threatening complications.",dermatology,
Flashcard 68,What is the most common subtype of melanoma?,"Superficial spreading melanoma is the most common subtype, characterized by a flat, irregularly shaped lesion with varying colors and borders.",dermatology,
Flashcard 69,How is melanoma treated?,"The primary treatment for melanoma is surgical excision with clear margins. If metastasis is present, chemotherapy, targeted therapy (e.g., BRAF inhibitors like vemurafenib), and immunotherapy (e.g., checkpoint inhibitors) may be used.",dermatology,
Flashcard 70,What is the prognosis for melanoma based on?,"Prognosis depends on the depth of invasion (Breslow thickness), presence of ulceration, and whether there is regional or distant metastasis. Early detection significantly improves survival rates.",dermatology,
Flashcard 71,What is the primary mechanism behind vitiligo?,"Autoimmune destruction of melanocytes, leading to depigmented macules and patches.",dermatology,
Flashcard 72,Which areas of the body are most commonly affected by vitiligo?,"Hands, face, genitals, and areas around body openings (e.g., eyes, mouth).",dermatology,
Flashcard 73,What are the characteristic skin findings in vitiligo?,"Sharply demarcated, depigmented macules or patches with no scaling or inflammation.",dermatology,
Flashcard 74,Name two autoimmune diseases most commonly associated with vitiligo.,Autoimmune thyroid diseases (Graves’ disease and Hashimoto’s thyroiditis) and type 1 diabetes mellitus.,dermatology,
Flashcard 75,What is the typical age of onset for vitiligo?,Vitiligo can occur at any age but most commonly appears before age 30.,dermatology,
Flashcard 76,What diagnostic tests are used to evaluate vitiligo?,"Clinical examination, Wood's lamp (enhances depigmented areas), and tests for associated autoimmune conditions (e.g., TSH for thyroid disease).",dermatology,
Flashcard 77,What treatments are available for vitiligo?,"Topical corticosteroids, calcineurin inhibitors, phototherapy (narrowband UVB), and depigmentation therapy for extensive cases.",dermatology,
Flashcard 78,How does vitiligo differ from other hypopigmentation disorders?,"Vitiligo involves complete depigmentation due to melanocyte destruction, whereas others (e.g., pityriasis alba) may have partial pigment loss or scaling.",dermatology,
Flashcard 79,What are the psychosocial implications of vitiligo?,"Patients may experience significant emotional distress, self-esteem issues, and social stigma due to visible skin changes.",dermatology,
Flashcard 80,Is vitiligo hereditary?,"Yes, vitiligo has a genetic component, and family history increases risk, but it is not directly inherited in a predictable pattern.",dermatology,
Flashcard 1,What are GLUTs?,GLUTs are a family of transmembrane proteins responsible for transporting glucose across cell membranes.,endocrine,
Flashcard 2,Which glucose transporter is responsive to insulin?,GLUT-4.,endocrine,
Flashcard 3,What happens to GLUT-4 in the absence of insulin?,"GLUT-4 is sequestered in the cytoplasm, making cells less permeable to glucose.",endocrine,
Flashcard 4,What causes the translocation of GLUT-4 to the plasma membrane?,Increasing concentrations of insulin.,endocrine,
Flashcard 5,Where is GLUT-4 predominantly expressed?,In skeletal muscle cells and adipocytes.,endocrine,
Flashcard 6,What role does GLUT-1 play in the body?,It contributes to basal glucose transport in erythrocytes and at the blood-brain barrier.,endocrine,
Flashcard 7,"Where is GLUT-2 found, and what functions does it serve?","Present in hepatocytes, pancreatic beta cells, and at the basolateral membrane of renal tubules; it plays a role in glucose absorption, reabsorption, and hepatic glucose regulation.",endocrine,
Flashcard 8,What is the primary function of GLUT-3?,It is involved in glucose transport in placental and neuronal tissues.,endocrine,
Flashcard 9,What is the function of GLUT-5?,GLUT-5 is a fructose transporter found in spermatocytes and the gastrointestinal tract.,endocrine,
Flashcard 10,"How do insulin-independent glucose transporters (GLUTs 1, 2, 3, and 5) respond to insulin levels?",They are always present on the plasma membrane and their function does not substantially change with insulin concentration.,endocrine,
Flashcard 11,What is diabetic retinopathy (DR)?,"A complication of diabetes characterized by damage to the retinal blood vessels, leading to vision loss.",endocrine,
Flashcard 12,Name the two main types of diabetic retinopathy.,Nonproliferative diabetic retinopathy (NPDR) and proliferative diabetic retinopathy (PDR).,endocrine,
Flashcard 13,What are the early morphological changes seen in nonproliferative diabetic retinopathy?,"Microaneurysms, cotton wool spots, and hard exudates.",endocrine,
Flashcard 14,What is the hallmark feature of proliferative diabetic retinopathy?,Neovascularization in the retina due to retinal ischemia.,endocrine,
Flashcard 15,What causes the initial changes in diabetic retinopathy?,Chronic hyperglycemia leading to microangiopathy and damage to retinal vessels.,endocrine,
Flashcard 16,How does diabetic macular edema (DME) relate to diabetic retinopathy?,"DME is a complication of DR characterized by fluid accumulation in the macula, leading to vision loss.",endocrine,
Flashcard 17,What is a common symptom experienced by individuals with diabetic retinopathy?,Blurred vision or sudden changes in vision.,endocrine,
Flashcard 18,Which diagnostic test is key for confirming diabetic retinopathy?,Dilated fundoscopic examination.,endocrine,
Flashcard 19,How are hard exudates identified during a fundoscopic exam?,As yellow-white lesions with well-defined edges on the retina.,endocrine,
Flashcard 20,"What are cotton wool spots, and what do they indicate?","They are soft, fluffy white patches on the retina caused by localized retinal ischemia.",endocrine,
Flashcard 21,What role does fluorescein angiography play in the assessment of diabetic retinopathy?,It helps visualize blood flow and identifies areas of leakage and neovascularization.,endocrine,
Flashcard 22,What is the significance of controlling blood sugar levels in diabetic retinopathy?,Tight glycemic control reduces the risk of developing or worsening diabetic retinopathy.,endocrine,
Flashcard 23,What systemic factors increase the risk of diabetic retinopathy?,"Duration of diabetes, poor glycemic control, hypertension, and dyslipidemia.",endocrine,
Flashcard 24,How often should individuals with diabetes receive eye exams?,"Annually, or more frequently if diagnosed with diabetic retinopathy.",endocrine,
Flashcard 25,What are the treatment options for diabetic retinopathy?,"Laser photocoagulation, intravitreal anti-VEGF injections, and controlling glycemia.",endocrine,
Flashcard 26,What is the purpose of panretinal laser photocoagulation (PRP) in treating diabetic retinopathy?,To reduce neovascularization and prevent further vision loss in proliferative diabetic retinopathy.,endocrine,
Flashcard 27,How can diabetic macular edema be treated?,With anti-VEGF injections or laser treatments focused on the macula.,endocrine,
Flashcard 28,What is the risk of macular edema in patients with diabetic retinopathy?,It can lead to significant vision impairment if not treated promptly.,endocrine,
Flashcard 29,What lifestyle changes can help prevent the progression of diabetic retinopathy?,"Maintaining good glycemic control, regular exercise, and a healthy diet.",endocrine,
Flashcard 30,Which patient population is most at risk for developing diabetic retinopathy?,"Patients with long-standing diabetes, particularly those with poorly controlled blood sugar levels.",endocrine,
Flashcard 31,What are the two classifications of pituitary adenomas based on size?,Microadenomas (≤10 mm) and macroadenomas (>10 mm).,endocrine,
Flashcard 32,How are pituitary adenomas categorized based on hormone secretion?,Secretory (functional) and nonsecretory (nonfunctioning) adenomas.,endocrine,
Flashcard 33,What is the most common type of secretory pituitary adenoma?,Prolactinoma.,endocrine,
Flashcard 34,What symptoms are associated with prolactinomas?,"Galactorrhea, amenorrhea in women, and reduced libido, infertility in men.",endocrine,
Flashcard 35,What is the characteristic symptom of growth hormone-secreting adenomas?,Acromegaly or gigantism.,endocrine,
Flashcard 36,What visual field defect is commonly associated with pituitary adenomas?,Bitemporal hemianopsia due to optic chiasm compression.,endocrine,
Flashcard 37,What imaging study is the gold standard for diagnosing pituitary adenomas?,MRI of the sella turcica.,endocrine,
